"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"22/05/2026","18.369,70","18.304,76","18.475,91","18.304,76","","0,35%"
"21/05/2026","18.304,76","18.113,11","18.426,94","18.112,23","","1,06%"
"20/05/2026","18.113,11","18.263,97","18.450,22","18.112,91","","-0,83%"
"19/05/2026","18.263,97","18.448,30","18.709,49","18.263,97","","-1,00%"
"18/05/2026","18.448,30","18.419,21","18.506,67","18.325,91","","0,16%"
"15/05/2026","18.419,21","18.744,35","18.765,80","18.396,89","","-1,74%"
"14/05/2026","18.745,70","18.892,82","19.125,48","18.745,70","","-0,78%"
"13/05/2026","18.892,82","18.776,54","18.960,90","18.776,54","","0,62%"
"12/05/2026","18.776,54","18.850,91","18.917,79","18.774,58","","-0,39%"
"11/05/2026","18.850,91","18.950,94","18.957,18","18.841,68","","-0,53%"
"08/05/2026","18.950,94","18.921,20","18.969,07","18.891,93","","0,16%"
"07/05/2026","18.921,20","18.939,74","19.083,33","18.920,87","","-0,10%"
"06/05/2026","18.939,74","18.630,92","19.007,57","18.630,90","","1,66%"
"05/05/2026","18.630,92","18.696,60","18.738,44","18.611,46","","-0,35%"
"04/05/2026","18.696,60","18.583,53","18.799,28","18.582,32","","0,61%"
"30/04/2026","18.583,53","18.698,93","18.698,93","18.564,13","","-0,62%"
"29/04/2026","18.699,53","18.715,25","18.883,38","18.657,43","","-0,08%"
"28/04/2026","18.715,25","18.819,61","18.913,30","18.715,25","","-0,55%"
"27/04/2026","18.819,61","18.815,18","18.987,01","18.803,51","","0,02%"
"24/04/2026","18.815,18","19.138,85","19.138,85","18.808,70","","-1,69%"
"23/04/2026","19.138,85","19.158,61","19.252,97","19.110,15","","-0,10%"
