date,open,high,low,close,volume,change_pct,dataset
2007-01-02,9458.69,9514.92,9418.46,9482.63,,0.03,MASI
2007-01-03,9476.92,9625.38,9476.54,9625.38,,1.51,MASI
2007-01-04,9641.22,9780.28,9629.58,9780.28,,1.61,MASI
2007-01-05,9810.59,9984.81,9809.23,9933.29,,1.56,MASI
2007-01-08,9960.51,10049.33,9956.31,10023.46,,0.91,MASI
2007-01-09,10014.86,10054.28,9971.41,9971.41,,-0.52,MASI
2007-01-10,9943.43,9965.77,9924.1,9940.01,,-0.31,MASI
2007-01-12,9837.67,9837.67,9676.08,9814.77,,-1.26,MASI
2007-01-15,9843.85,9913.1,9817.54,9856.22,,0.42,MASI
2007-01-16,9833.74,10016.81,9825.24,10006.88,,1.53,MASI
2007-01-17,9990.66,10103.48,9990.66,10026.96,,0.2,MASI
2007-01-18,10014.42,10052.97,9971.61,9983.6,,-0.43,MASI
2007-01-19,9923.52,9978.2,9923.52,9953.82,,-0.3,MASI
2007-01-22,9956.49,9992.19,9936.57,9975.1,,0.21,MASI
2007-01-23,9967.79,9991.8,9947.93,9991.18,,0.16,MASI
2007-01-24,9952.71,9997.22,9951.53,9995.75,,0.05,MASI
2007-01-25,10003.13,10065.07,10003.13,10065.07,,0.69,MASI
2007-01-26,10048.66,10240.44,10048.44,10217.59,,1.52,MASI
2007-01-29,10278.92,10362.52,10278.92,10345.93,,1.26,MASI
2007-01-30,10365.67,10445.83,10344.47,10445.79,,0.97,MASI
2007-01-31,10450.16,10516.37,10419.76,10455.33,,0.09,MASI
2007-02-01,10418.91,10424.11,10113.38,10207.24,,-2.37,MASI
2007-02-02,10213.13,10266.35,10192.85,10264.88,,0.56,MASI
2007-02-05,10214.01,10314.26,10192.29,10311.81,,0.46,MASI
2007-02-06,10304.77,10419.6,10275.52,10419.39,,1.04,MASI
2007-02-07,10395.12,10408.67,10323.85,10362.26,,-0.55,MASI
2007-02-08,10379.25,10416.78,10356.6,10389.46,,0.26,MASI
2007-02-09,10399.62,10482.81,10386.34,10476.42,,0.84,MASI
2007-02-12,10453.85,10536.06,10452.47,10536.06,,0.57,MASI
2007-02-13,10488.86,10648.82,10476.74,10627.44,,0.87,MASI
2007-02-14,10623.53,10664.63,10619.1,10639.47,,0.11,MASI
2007-02-15,10643.03,10725.2,10638.07,10710.87,,0.67,MASI
2007-02-16,10750.44,10950.29,10750.44,10907.91,,1.84,MASI
2007-02-19,10960.04,11254.93,10948.02,11201.82,,2.69,MASI
2007-02-20,11350.6,11351.86,11010.83,11016.69,,-1.65,MASI
2007-02-21,11051.36,11051.36,10947.53,10954.65,,-0.56,MASI
2007-02-22,10920.87,10920.87,10582.25,10582.25,,-3.4,MASI
2007-02-23,10610.04,10610.04,10430.55,10432.54,,-1.41,MASI
2007-02-26,10455.43,10704.47,10455.43,10641.2,,2.0,MASI
2007-02-27,10719.86,10848.8,10549.46,10646.51,,0.05,MASI
2007-02-28,10644.3,10716.9,10558.39,10716.9,,0.66,MASI
2007-03-01,10637.76,10701.65,10586.75,10588.37,,-1.2,MASI
2007-03-02,10612.86,10759.63,10595.11,10759.63,,1.62,MASI
2007-03-05,10729.12,10858.28,10728.54,10858.28,,0.92,MASI
2007-03-06,10911.24,11049.83,10889.0,11036.34,,1.64,MASI
2007-03-07,11044.34,11201.17,11044.34,11201.17,,1.49,MASI
2007-03-08,11214.49,11332.33,11210.47,11309.87,,0.97,MASI
2007-03-09,11333.74,11333.74,11064.43,11066.35,,-2.15,MASI
2007-03-12,11124.32,11143.01,11035.23,11076.06,,0.09,MASI
2007-03-13,11119.02,11268.81,11091.1,11268.81,,1.74,MASI
2007-03-14,11272.34,11272.99,11197.73,11243.69,,-0.22,MASI
2007-03-15,11222.72,11227.74,11137.71,11147.0,,-0.86,MASI
2007-03-16,11149.54,11176.71,11125.8,11176.71,,0.27,MASI
2007-03-19,11174.93,11182.3,11153.67,11153.67,,-0.21,MASI
2007-03-20,11191.08,11252.99,11180.47,11252.99,,0.89,MASI
2007-03-21,11226.55,11354.19,11226.55,11354.19,,0.9,MASI
2007-03-22,11360.01,11405.4,11330.15,11374.17,,0.18,MASI
2007-03-23,11396.61,11474.46,11396.61,11474.46,,0.88,MASI
2007-03-26,11465.16,11488.03,11454.36,11470.33,,-0.04,MASI
2007-03-27,11478.56,11478.56,11402.33,11441.79,,-0.25,MASI
2007-03-28,11427.72,11579.24,11421.5,11547.85,,0.93,MASI
2007-03-29,11595.19,11615.02,11535.81,11556.67,,0.08,MASI
2007-03-30,11608.32,11629.34,11497.87,11497.87,,-0.51,MASI
2007-04-03,11456.87,11463.35,11398.22,11401.23,,-0.84,MASI
2007-04-04,11378.8,11412.34,11328.78,11335.98,,-0.57,MASI
2007-04-05,11330.87,11366.64,11304.06,11365.88,,0.26,MASI
2007-04-06,11375.87,11412.88,11371.34,11411.05,,0.4,MASI
2007-04-09,11442.48,11449.2,11336.92,11409.23,,-0.02,MASI
2007-04-10,11419.55,11487.86,11417.74,11487.43,,0.69,MASI
2007-04-11,11523.42,11537.03,11492.34,11515.26,,0.24,MASI
2007-04-12,11515.58,11550.37,11507.35,11550.37,,0.3,MASI
2007-04-13,11536.28,11623.48,11536.28,11623.48,,0.63,MASI
2007-04-16,11625.35,11675.89,11620.67,11647.51,,0.21,MASI
2007-04-17,11634.62,11691.3,11629.6,11691.3,,0.38,MASI
2007-04-18,11682.13,11744.44,11682.13,11739.02,,0.41,MASI
2007-04-19,11824.98,11824.98,11755.66,11820.17,,0.69,MASI
2007-04-20,11837.46,11917.9,11829.94,11885.14,,0.55,MASI
2007-04-23,11920.89,12053.03,11888.18,12041.23,,1.31,MASI
2007-04-24,12059.83,12278.54,12051.99,12271.57,,1.91,MASI
2007-04-25,12263.48,12319.32,11976.07,12273.26,,0.01,MASI
2007-04-26,12239.13,12335.96,12229.32,12243.75,,-0.24,MASI
