Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
22/05/2026,"18.369,70","18.304,76","18.475,91","18.304,76",,"0,35%"
21/05/2026,"18.304,76","18.113,11","18.426,94","18.112,23",,"1,06%"
20/05/2026,"18.113,11","18.263,97","18.450,22","18.112,91",,"-0,83%"
19/05/2026,"18.263,97","18.448,30","18.709,49","18.263,97",,"-1,00%"
18/05/2026,"18.448,30","18.419,21","18.506,67","18.325,91",,"0,16%"
15/05/2026,"18.419,21","18.744,35","18.765,80","18.396,89",,"-1,74%"
14/05/2026,"18.745,70","18.892,82","19.125,48","18.745,70",,"-0,78%"
13/05/2026,"18.892,82","18.776,54","18.960,90","18.776,54",,"0,62%"
12/05/2026,"18.776,54","18.850,91","18.917,79","18.774,58",,"-0,39%"
11/05/2026,"18.850,91","18.950,94","18.957,18","18.841,68",,"-0,53%"
08/05/2026,"18.950,94","18.921,20","18.969,07","18.891,93",,"0,16%"
07/05/2026,"18.921,20","18.939,74","19.083,33","18.920,87",,"-0,10%"
06/05/2026,"18.939,74","18.630,92","19.007,57","18.630,90",,"1,66%"
05/05/2026,"18.630,92","18.696,60","18.738,44","18.611,46",,"-0,35%"
04/05/2026,"18.696,60","18.583,53","18.799,28","18.582,32",,"0,61%"
30/04/2026,"18.583,53","18.698,93","18.698,93","18.564,13",,"-0,62%"
29/04/2026,"18.699,53","18.715,25","18.883,38","18.657,43",,"-0,08%"
28/04/2026,"18.715,25","18.819,61","18.913,30","18.715,25",,"-0,55%"
27/04/2026,"18.819,61","18.815,18","18.987,01","18.803,51",,"0,02%"
24/04/2026,"18.815,18","19.138,85","19.138,85","18.808,70",,"-1,69%"
23/04/2026,"19.138,85","19.158,61","19.252,97","19.110,15",,"-0,10%"
22/04/2026,"19.158,61","19.159,71","19.159,75","19.088,51",,"-0,01%"
21/04/2026,"19.160,13","19.041,05","19.229,80","18.971,11",,"0,63%"
20/04/2026,"19.041,05","19.238,40","19.238,40","18.885,82",,"-1,03%"
17/04/2026,"19.238,40","18.739,54","19.345,19","18.693,83",,"2,66%"
16/04/2026,"18.739,54","18.743,91","18.823,86","18.680,56",,"-0,02%"
15/04/2026,"18.743,91","18.754,20","18.981,98","18.716,96",,"-0,05%"
14/04/2026,"18.754,20","18.347,19","18.790,69","18.347,19",,"2,22%"
13/04/2026,"18.347,19","18.447,35","18.456,79","18.094,55",,"-0,54%"
10/04/2026,"18.447,35","18.063,02","18.447,73","18.063,02",,"2,13%"
09/04/2026,"18.063,02","18.102,52","18.185,11","18.016,83",,"-0,22%"
08/04/2026,"18.102,52","17.391,20","18.164,09","17.391,20",,"4,09%"
07/04/2026,"17.391,20","17.599,70","17.707,03","17.377,26",,"-1,18%"
06/04/2026,"17.599,70","17.514,80","17.740,86","17.514,80",,"0,48%"
03/04/2026,"17.514,80","17.525,32","17.630,99","17.476,89",,"-0,06%"
02/04/2026,"17.525,32","17.554,23","17.589,41","17.424,69",,"-0,16%"
01/04/2026,"17.554,23","17.160,54","17.627,60","17.160,54",,"2,29%"
31/03/2026,"17.160,54","17.330,27","17.347,88","17.151,04",,"-0,98%"
30/03/2026,"17.330,27","17.221,05","17.462,98","17.215,64",,"0,63%"
27/03/2026,"17.221,05","17.443,33","17.566,91","17.221,05",,"-1,27%"
26/03/2026,"17.443,33","17.590,42","17.607,73","17.443,18",,"-0,84%"
25/03/2026,"17.590,42","17.236,40","17.597,09","17.232,25",,"2,05%"
24/03/2026,"17.236,40","17.231,44","17.432,34","17.199,72",,"-0,04%"
19/03/2026,"17.243,58","17.511,90","17.513,82","17.170,80",,"-1,53%"
18/03/2026,"17.511,90","17.065,20","17.511,90","17.064,97",,"2,62%"
17/03/2026,"17.065,20","16.942,50","17.097,76","16.942,50",,"0,72%"
16/03/2026,"16.942,50","16.855,82","17.051,28","16.847,81",,"0,51%"
13/03/2026,"16.855,82","17.157,76","17.197,34","16.855,82",,"-1,76%"
12/03/2026,"17.157,76","17.157,04","17.298,31","17.151,00",,"0,00%"
11/03/2026,"17.157,04","16.902,46","17.273,56","16.902,46",,"1,51%"
10/03/2026,"16.902,46","16.533,57","17.350,40","16.533,57",,"2,23%"
09/03/2026,"16.533,57","17.097,54","17.101,83","16.533,57",,"-3,30%"
06/03/2026,"17.097,54","17.351,61","17.654,96","17.093,96",,"-1,46%"
05/03/2026,"17.351,61","16.655,58","17.351,61","16.655,58",,"4,18%"
04/03/2026,"16.655,58","16.399,25","17.169,08","16.382,81",,"1,56%"
03/03/2026,"16.399,25","17.377,00","17.415,99","16.399,21",,"-5,63%"
02/03/2026,"17.377,00","18.140,55","18.140,55","17.369,86",,"-4,21%"
27/02/2026,"18.140,55","18.369,94","18.472,13","18.138,36",,"-1,25%"
26/02/2026,"18.369,94","18.526,39","18.553,17","18.328,17",,"-0,84%"
25/02/2026,"18.526,39","18.582,49","18.672,08","18.526,39",,"-0,30%"
24/02/2026,"18.582,49","18.651,76","18.682,06","18.582,49",,"-0,37%"
23/02/2026,"18.651,76","18.701,04","18.731,31","18.633,92",,"-0,26%"
20/02/2026,"18.701,04","18.736,57","18.744,14","18.597,25",,"-0,19%"
19/02/2026,"18.736,57","18.687,90","18.736,57","18.639,79",,"0,26%"
18/02/2026,"18.687,90","18.724,05","18.763,41","18.630,01",,"-0,19%"
17/02/2026,"18.724,05","18.827,60","18.829,45","18.675,88",,"-0,55%"
16/02/2026,"18.827,60","18.573,12","18.827,60","18.567,09",,"1,37%"
13/02/2026,"18.573,12","18.645,43","18.682,13","18.561,44",,"-0,39%"
12/02/2026,"18.645,43","18.365,69","18.645,96","18.365,69",,"1,52%"
11/02/2026,"18.365,69","18.303,36","18.391,71","18.275,77",,"0,34%"
10/02/2026,"18.303,36","18.338,87","18.405,84","18.266,59",,"-0,19%"
09/02/2026,"18.338,87","18.306,80","18.481,69","18.292,11",,"0,18%"
06/02/2026,"18.306,80","18.122,70","18.310,25","17.924,37",,"1,02%"
05/02/2026,"18.122,70","18.450,76","18.497,70","18.122,70",,"-1,78%"
04/02/2026,"18.450,76","18.439,79","18.595,57","18.430,14",,"0,06%"
03/02/2026,"18.439,79","18.524,06","18.648,05","18.434,19",,"-0,45%"
02/02/2026,"18.524,06","18.666,95","18.730,57","18.399,39",,"-0,77%"
30/01/2026,"18.666,95","18.955,53","18.957,77","18.666,95",,"-1,52%"
29/01/2026,"18.955,53","18.963,82","19.109,49","18.943,00",,"-0,04%"
28/01/2026,"18.963,82","18.616,29","18.963,82","18.616,29",,"1,87%"
27/01/2026,"18.616,29","18.384,99","18.618,86","18.379,59",,"1,26%"
26/01/2026,"18.384,99","18.643,56","18.722,35","18.360,24",,"-1,39%"
23/01/2026,"18.643,56","18.792,09","18.945,44","18.627,81",,"-0,79%"
22/01/2026,"18.792,09","18.650,08","19.056,38","18.650,08",,"0,76%"
21/01/2026,"18.650,08","18.882,11","18.976,06","18.650,08",,"-1,23%"
20/01/2026,"18.882,11","19.008,06","19.091,19","18.816,38",,"-0,66%"
19/01/2026,"19.008,06","19.200,47","19.284,29","18.982,96",,"-1,00%"
16/01/2026,"19.200,47","19.270,33","19.293,44","19.136,28",,"-0,36%"
15/01/2026,"19.270,33","19.381,89","19.473,83","19.198,46",,"-0,58%"
13/01/2026,"19.381,89","19.516,71","19.550,71","19.376,29",,"-0,69%"
12/01/2026,"19.516,71","19.469,47","19.525,13","19.394,74",,"0,24%"
09/01/2026,"19.469,47","19.388,28","19.513,60","19.318,92",,"0,42%"
08/01/2026,"19.388,28","19.445,46","19.510,57","19.304,63",,"-0,29%"
07/01/2026,"19.445,46","19.554,97","19.638,15","19.422,15",,"-0,56%"
06/01/2026,"19.554,97","19.440,91","19.630,37","19.440,68",,"0,59%"
05/01/2026,"19.440,91","19.208,36","19.440,91","19.180,38",,"1,21%"
02/01/2026,"19.208,36","18.846,35","19.208,36","18.774,74",,"1,92%"
31/12/2025,"18.846,35","18.654,74","18.869,80","18.651,55",,"1,03%"
30/12/2025,"18.654,74","18.386,49","18.672,90","18.386,49",,"1,46%"
29/12/2025,"18.386,49","18.476,19","18.813,23","18.378,58",,"-0,49%"
26/12/2025,"18.476,19","18.941,16","19.144,14","18.476,19",,"-2,45%"
25/12/2025,"18.941,16","18.917,37","19.048,87","18.864,61",,"0,13%"
24/12/2025,"18.917,37","18.943,40","19.001,97","18.881,84",,"-0,14%"
23/12/2025,"18.943,40","18.941,74","18.966,16","18.795,24",,"0,01%"
22/12/2025,"18.941,74","18.938,30","18.983,64","18.886,00",,"0,02%"
19/12/2025,"18.938,30","18.815,95","19.005,82","18.815,95",,"0,65%"
18/12/2025,"18.815,95","18.760,08","18.869,60","18.759,49",,"0,30%"
17/12/2025,"18.760,08","18.583,78","18.767,61","18.583,78",,"0,95%"
16/12/2025,"18.583,78","18.553,93","18.671,92","18.543,49",,"0,16%"
15/12/2025,"18.553,93","18.566,51","18.694,45","18.515,19",,"-0,07%"
12/12/2025,"18.566,51","18.498,78","18.622,63","18.498,78",,"0,37%"
